timestamp,incident_id,node_id,alarm_code,severity,is_root_cause,node_type
2025-12-09 17:54:46.174003,INC-1765277686-OLT_077,OLT_077,CPU_OVERLOAD,CRITICAL,True,OLT
2025-12-09 17:54:47.174003,INC-1765277686-OLT_077,ONT_CUST_00225,LOS,MAJOR,False,ONT
2025-12-09 17:54:48.174003,INC-1765277686-OLT_077,ONT_CUST_02101,LOS,MAJOR,False,ONT
2025-12-09 17:54:49.174003,INC-1765277686-OLT_077,ONT_CUST_02217,LOS,MAJOR,False,ONT
2025-12-09 17:54:53.174003,INC-1765277686-OLT_077,ONT_CUST_01536,LOS,MAJOR,False,ONT
2025-12-09 17:54:53.174003,INC-1765277686-OLT_077,ONT_CUST_01948,LOS,MAJOR,False,ONT
2025-12-09 17:54:54.174003,INC-1765277686-OLT_077,ONT_CUST_01914,LOS,MAJOR,False,ONT
2025-12-09 17:54:56.174003,INC-1765277686-OLT_077,ONT_CUST_01930,LOS,MAJOR,False,ONT
2025-12-09 17:54:57.174003,INC-1765277686-OLT_077,ONT_CUST_00281,LOS,MAJOR,False,ONT
2025-12-09 17:55:01.174003,INC-1765277686-OLT_077,ONT_CUST_00487,LOS,MAJOR,False,ONT
2025-12-09 17:55:02.174003,INC-1765277686-OLT_077,ONT_CUST_00921,LOS,MAJOR,False,ONT
2025-12-09 17:55:05.174003,INC-1765277686-OLT_077,ONT_CUST_02272,LOS,MAJOR,False,ONT
2025-12-09 17:55:06.174003,INC-1765277686-OLT_077,ONT_CUST_00464,LOS,MAJOR,False,ONT
2025-12-09 17:55:17.174003,INC-1765277686-OLT_077,ONT_CUST_02118,LOS,MAJOR,False,ONT
2025-12-09 17:55:17.174003,INC-1765277686-OLT_077,ONT_CUST_00241,LOS,MAJOR,False,ONT
2025-12-09 17:55:18.174003,INC-1765277686-OLT_077,ONT_CUST_00075,LOS,MAJOR,False,ONT
2025-12-09 17:55:19.174003,INC-1765277686-OLT_077,ONT_CUST_02205,LOS,MAJOR,False,ONT
2025-12-09 17:55:20.174003,INC-1765277686-OLT_077,ONT_CUST_01658,LOS,MAJOR,False,ONT
2025-12-09 17:55:23.174003,INC-1765277686-OLT_077,ONT_CUST_01462,LOS,MAJOR,False,ONT
2025-12-09 17:55:24.174003,INC-1765277686-OLT_077,ONT_CUST_01332,LOS,MAJOR,False,ONT
2025-12-09 17:55:30.174003,INC-1765277686-OLT_077,ONT_CUST_02286,LOS,MAJOR,False,ONT
2025-12-09 17:55:34.174003,INC-1765277686-OLT_077,ONT_CUST_01708,LOS,MAJOR,False,ONT
2025-12-09 17:55:35.174003,INC-1765277686-OLT_077,ONT_CUST_00426,LOS,MAJOR,False,ONT
2025-12-09 17:55:36.174003,INC-1765277686-OLT_077,ONT_CUST_00023,LOS,MAJOR,False,ONT
2025-12-09 17:55:38.174003,INC-1765277686-OLT_077,ONT_CUST_00687,LOS,MAJOR,False,ONT
2025-12-09 17:55:39.174003,INC-1765277686-OLT_077,ONT_CUST_02210,LOS,MAJOR,False,ONT
2025-12-09 17:55:40.174003,INC-1765277686-OLT_077,ONT_CUST_00422,LOS,MAJOR,False,ONT
2025-12-09 17:55:42.174003,INC-1765277686-OLT_077,ONT_CUST_00307,LOS,MAJOR,False,ONT
2025-12-09 18:06:21.174003,INC-1765278381-AGG_SW_006,AGG_SW_006,POWER_LOSS,CRITICAL,True,AGGREGATION
2025-12-09 18:06:22.174003,INC-1765278381-AGG_SW_006,ONT_CUST_01738,LOS,MAJOR,False,ONT
2025-12-09 18:06:22.174003,INC-1765278381-AGG_SW_006,ONT_CUST_01228,LOS,MAJOR,False,ONT
